record_key,region,year,compare_key,current_source_url,source_url,source,responsible,doc_no,note
510100|2025|出院人数|实际值|3·副省级城市,成都市,2025,出院人数,https://www.chengdu.gov.cn/,,,,,
510100|2025|公立医院数|实际值|3·副省级城市,成都市,2025,公立医院数,https://www.chengdu.gov.cn/,,,,,
510100|2025|基层医疗卫生机构数|实际值|3·副省级城市,成都市,2025,基层医疗卫生机构数,https://www.chengdu.gov.cn/,,,,,
510100|2025|每千人口卫生技术人员数|实际值(测算)|3·副省级城市,成都市,2025,每千人口卫生技术人员数,https://www.chengdu.gov.cn/,,,,,
510100|2025|每千人口医疗卫生机构床位数|实际值(测算)|3·副省级城市,成都市,2025,每千人口医疗卫生机构床位数,https://www.chengdu.gov.cn/,,,,,
510100|2025|每千人口执业(助理)医师数|实际值(测算)|3·副省级城市,成都市,2025,每千人口执业(助理)医师数,https://www.chengdu.gov.cn/,,,,,
510100|2025|每千人口注册护士数|实际值(测算)|3·副省级城市,成都市,2025,每千人口注册护士数,https://www.chengdu.gov.cn/,,,,,
510100|2025|年末常住人口|实际值|3·副省级城市,成都市,2025,年末常住人口,https://www.chengdu.gov.cn/,,,,,
510100|2025|三级医院数|实际值|3·副省级城市,成都市,2025,三级医院数,https://www.chengdu.gov.cn/,,,,,
510100|2025|三甲医院数|实际值|3·副省级城市,成都市,2025,三甲医院数,https://www.chengdu.gov.cn/,,,,,
510100|2025|卫生技术人员数|实际值|3·副省级城市,成都市,2025,卫生技术人员数,https://www.chengdu.gov.cn/,,,,,
510100|2025|医疗卫生机构实有床位数|实际值|3·副省级城市,成都市,2025,医疗卫生机构实有床位数,https://www.chengdu.gov.cn/,,,,,
510100|2025|医疗卫生机构总数|实际值|3·副省级城市,成都市,2025,医疗卫生机构总数,https://www.chengdu.gov.cn/,,,,,
510100|2025|医院数|实际值|3·副省级城市,成都市,2025,医院数,https://www.chengdu.gov.cn/,,,,,
510100|2025|执业(助理)医师数|实际值|3·副省级城市,成都市,2025,执业(助理)医师数,https://www.chengdu.gov.cn/,,,,,
510100|2025|注册护士数|实际值|3·副省级城市,成都市,2025,注册护士数,https://www.chengdu.gov.cn/,,,,,
510100|2025|总诊疗人次|实际值|3·副省级城市,成都市,2025,总诊疗人次,https://www.chengdu.gov.cn/,,,,,
210200|2025|出院人次|实际值|3·副省级城市,大连市,2025,出院人次,https://www.dl.gov.cn/,,,,,
210200|2025|出院者平均住院日|实际值|3·副省级城市,大连市,2025,出院者平均住院日,https://www.dl.gov.cn/,,,,,
210200|2025|次均门诊费用|实际值|3·副省级城市,大连市,2025,次均门诊费用,https://www.dl.gov.cn/,,,,,
210200|2025|次均门诊药费|实际值|3·副省级城市,大连市,2025,次均门诊药费,https://www.dl.gov.cn/,,,,,
210200|2025|次均住院费用|实际值|3·副省级城市,大连市,2025,次均住院费用,https://www.dl.gov.cn/,,,,,
210200|2025|次均住院药费|实际值|3·副省级城市,大连市,2025,次均住院药费,https://www.dl.gov.cn/,,,,,
210200|2025|村卫生室数|实际值|3·副省级城市,大连市,2025,村卫生室数,https://www.dl.gov.cn/,,,,,
210200|2025|二级以上公立医院参与同级检查结果互认比例|实际值|3·副省级城市,大连市,2025,二级以上公立医院参与同级检查结果互认比例,https://www.dl.gov.cn/,,,,,
210200|2025|二级以上公立医院开展预约诊疗比例|实际值|3·副省级城市,大连市,2025,二级以上公立医院开展预约诊疗比例,https://www.dl.gov.cn/,,,,,
210200|2025|二级以上公立医院开展远程医疗服务比例|实际值|3·副省级城市,大连市,2025,二级以上公立医院开展远程医疗服务比例,https://www.dl.gov.cn/,,,,,
210200|2025|公立医院病床使用率|实际值|3·副省级城市,大连市,2025,公立医院病床使用率,https://www.dl.gov.cn/,,,,,
210200|2025|疾病预防控制中心数|实际值|3·副省级城市,大连市,2025,疾病预防控制中心数,https://www.dl.gov.cn/,,,,,
210200|2025|每千人口卫生技术人员数|实际值(测算)|3·副省级城市,大连市,2025,每千人口卫生技术人员数,https://www.dl.gov.cn/,,,,,
210200|2025|每千人口医疗卫生机构床位数|实际值(测算)|3·副省级城市,大连市,2025,每千人口医疗卫生机构床位数,https://www.dl.gov.cn/,,,,,
210200|2025|每千人口政府办医疗卫生机构床位数|实际值|3·副省级城市,大连市,2025,每千人口政府办医疗卫生机构床位数,https://www.dl.gov.cn/,,,,,
210200|2025|每千人口执业(助理)医师数|实际值(测算)|3·副省级城市,大连市,2025,每千人口执业(助理)医师数,https://www.dl.gov.cn/,,,,,
210200|2025|每千人口执业医师数|实际值|3·副省级城市,大连市,2025,每千人口执业医师数,https://www.dl.gov.cn/,,,,,
210200|2025|每千人口注册护士数|实际值|3·副省级城市,大连市,2025,每千人口注册护士数,https://www.dl.gov.cn/,,,,,
210200|2025|每千人口注册护士数|实际值(测算)|3·副省级城市,大连市,2025,每千人口注册护士数,https://www.dl.gov.cn/,,,,,
210200|2025|每万人口全科医生数|实际值|3·副省级城市,大连市,2025,每万人口全科医生数,https://www.dl.gov.cn/,,,,,
210200|2025|年末常住人口|实际值|3·副省级城市,大连市,2025,年末常住人口,https://www.dl.gov.cn/,,,,,
210200|2025|全科医生数|实际值|3·副省级城市,大连市,2025,全科医生数,https://www.dl.gov.cn/,,,,,
210200|2025|人均预期寿命|实际值|3·副省级城市,大连市,2025,人均预期寿命,https://www.dl.gov.cn/,,,,,
210200|2025|日均住院费用|实际值|3·副省级城市,大连市,2025,日均住院费用,https://www.dl.gov.cn/,,,,,
210200|2025|入院人次|实际值|3·副省级城市,大连市,2025,入院人次,https://www.dl.gov.cn/,,,,,
210200|2025|三级医院数|实际值|3·副省级城市,大连市,2025,三级医院数,https://www.dl.gov.cn/,,,,,
210200|2025|社区卫生服务中心(站)数|实际值|3·副省级城市,大连市,2025,社区卫生服务中心(站)数,https://www.dl.gov.cn/,,,,,
210200|2025|社区卫生服务中心数|实际值|3·副省级城市,大连市,2025,社区卫生服务中心数,https://www.dl.gov.cn/,,,,,
210200|2025|卫生技术人员数|实际值|3·副省级城市,大连市,2025,卫生技术人员数,https://www.dl.gov.cn/,,,,,
210200|2025|卫生人员总数|实际值|3·副省级城市,大连市,2025,卫生人员总数,https://www.dl.gov.cn/,,,,,
210200|2025|县级(含县级市)医院数|实际值|3·副省级城市,大连市,2025,县级(含县级市)医院数,https://www.dl.gov.cn/,,,,,
210200|2025|乡镇卫生院床位数|实际值|3·副省级城市,大连市,2025,乡镇卫生院床位数,https://www.dl.gov.cn/,,,,,
210200|2025|乡镇卫生院数|实际值|3·副省级城市,大连市,2025,乡镇卫生院数,https://www.dl.gov.cn/,,,,,
210200|2025|医疗卫生机构病床使用率|实际值|3·副省级城市,大连市,2025,医疗卫生机构病床使用率,https://www.dl.gov.cn/,,,,,
210200|2025|医疗卫生机构实有床位数|实际值|3·副省级城市,大连市,2025,医疗卫生机构实有床位数,https://www.dl.gov.cn/,,,,,
210200|2025|医疗卫生机构总数(含村卫生室)|实际值|3·副省级城市,大连市,2025,医疗卫生机构总数(含村卫生室),https://www.dl.gov.cn/,,,,,
210200|2025|医师日均担负诊疗人次|实际值|3·副省级城市,大连市,2025,医师日均担负诊疗人次,https://www.dl.gov.cn/,,,,,
210200|2025|医院数|实际值|3·副省级城市,大连市,2025,医院数,https://www.dl.gov.cn/,,,,,
210200|2025|执业(助理)医师数|实际值|3·副省级城市,大连市,2025,执业(助理)医师数,https://www.dl.gov.cn/,,,,,
210200|2025|中医类医疗卫生机构实有床位数|实际值|3·副省级城市,大连市,2025,中医类医疗卫生机构实有床位数,https://www.dl.gov.cn/,,,,,
210200|2025|中医类医疗卫生机构总诊疗量|实际值|3·副省级城市,大连市,2025,中医类医疗卫生机构总诊疗量,https://www.dl.gov.cn/,,,,,
210200|2025|中医类医院数|实际值|3·副省级城市,大连市,2025,中医类医院数,https://www.dl.gov.cn/,,,,,
210200|2025|中医类诊疗量占医疗服务总量(不含村卫生室)比例|实际值|3·副省级城市,大连市,2025,中医类诊疗量占医疗服务总量(不含村卫生室)比例,https://www.dl.gov.cn/,,,,,
210200|2025|中医药卫生人员总数|实际值|3·副省级城市,大连市,2025,中医药卫生人员总数,https://www.dl.gov.cn/,,,,,
210200|2025|注册护士数|实际值|3·副省级城市,大连市,2025,注册护士数,https://www.dl.gov.cn/,,,,,
210200|2025|总诊疗人次|实际值|3·副省级城市,大连市,2025,总诊疗人次,https://www.dl.gov.cn/,,,,,
210200|2024|出院人次|实际值|3·副省级城市,大连市,2024,出院人次,https://www.dl.gov.cn/,,,,,
210200|2024|出院者平均住院日|实际值|3·副省级城市,大连市,2024,出院者平均住院日,https://www.dl.gov.cn/,,,,,
210200|2024|次均门诊费用|实际值|3·副省级城市,大连市,2024,次均门诊费用,https://www.dl.gov.cn/,,,,,
210200|2024|次均住院费用|实际值|3·副省级城市,大连市,2024,次均住院费用,https://www.dl.gov.cn/,,,,,
210200|2024|村卫生室数|实际值|3·副省级城市,大连市,2024,村卫生室数,https://www.dl.gov.cn/,,,,,
210200|2024|公立医院病床使用率|实际值|3·副省级城市,大连市,2024,公立医院病床使用率,https://www.dl.gov.cn/,,,,,
210200|2024|每千人口执业医师数|实际值|3·副省级城市,大连市,2024,每千人口执业医师数,https://www.dl.gov.cn/,,,,,
210200|2024|每千人口注册护士数|实际值|3·副省级城市,大连市,2024,每千人口注册护士数,https://www.dl.gov.cn/,,,,,
210200|2024|每万人口全科医生数|实际值|3·副省级城市,大连市,2024,每万人口全科医生数,https://www.dl.gov.cn/,,,,,
210200|2024|日均住院费用|实际值|3·副省级城市,大连市,2024,日均住院费用,https://www.dl.gov.cn/,,,,,
210200|2024|入院人次|实际值|3·副省级城市,大连市,2024,入院人次,https://www.dl.gov.cn/,,,,,
210200|2024|三级医院数|实际值|3·副省级城市,大连市,2024,三级医院数,https://www.dl.gov.cn/,,,,,
210200|2024|社区卫生服务中心(站)数|实际值|3·副省级城市,大连市,2024,社区卫生服务中心(站)数,https://www.dl.gov.cn/,,,,,
210200|2024|社区卫生服务中心数|实际值|3·副省级城市,大连市,2024,社区卫生服务中心数,https://www.dl.gov.cn/,,,,,
210200|2024|卫生技术人员数|实际值|3·副省级城市,大连市,2024,卫生技术人员数,https://www.dl.gov.cn/,,,,,
210200|2024|卫生人员总数|实际值|3·副省级城市,大连市,2024,卫生人员总数,https://www.dl.gov.cn/,,,,,
210200|2024|乡镇卫生院床位数|实际值|3·副省级城市,大连市,2024,乡镇卫生院床位数,https://www.dl.gov.cn/,,,,,
210200|2024|乡镇卫生院数|实际值|3·副省级城市,大连市,2024,乡镇卫生院数,https://www.dl.gov.cn/,,,,,
210200|2024|医疗卫生机构病床使用率|实际值|3·副省级城市,大连市,2024,医疗卫生机构病床使用率,https://www.dl.gov.cn/,,,,,
210200|2024|医疗卫生机构实有床位数|实际值|3·副省级城市,大连市,2024,医疗卫生机构实有床位数,https://www.dl.gov.cn/,,,,,
210200|2024|医疗卫生机构总数(含村卫生室)|实际值|3·副省级城市,大连市,2024,医疗卫生机构总数(含村卫生室),https://www.dl.gov.cn/,,,,,
210200|2024|医师日均担负诊疗人次|实际值|3·副省级城市,大连市,2024,医师日均担负诊疗人次,https://www.dl.gov.cn/,,,,,
210200|2024|医院数|实际值|3·副省级城市,大连市,2024,医院数,https://www.dl.gov.cn/,,,,,
210200|2024|执业(助理)医师数|实际值|3·副省级城市,大连市,2024,执业(助理)医师数,https://www.dl.gov.cn/,,,,,
210200|2024|中医类医疗卫生机构实有床位数|实际值|3·副省级城市,大连市,2024,中医类医疗卫生机构实有床位数,https://www.dl.gov.cn/,,,,,
210200|2024|中医类医疗卫生机构总诊疗量|实际值|3·副省级城市,大连市,2024,中医类医疗卫生机构总诊疗量,https://www.dl.gov.cn/,,,,,
210200|2024|中医类医院数|实际值|3·副省级城市,大连市,2024,中医类医院数,https://www.dl.gov.cn/,,,,,
210200|2024|中医类诊疗量占医疗服务总量(不含村卫生室)比例|实际值|3·副省级城市,大连市,2024,中医类诊疗量占医疗服务总量(不含村卫生室)比例,https://www.dl.gov.cn/,,,,,
210200|2024|中医药卫生人员总数|实际值|3·副省级城市,大连市,2024,中医药卫生人员总数,https://www.dl.gov.cn/,,,,,
210200|2024|注册护士数|实际值|3·副省级城市,大连市,2024,注册护士数,https://www.dl.gov.cn/,,,,,
210200|2024|总诊疗人次|实际值|3·副省级城市,大连市,2024,总诊疗人次,https://www.dl.gov.cn/,,,,,
440100|2025|出院人数|实际值|3·副省级城市,广州市,2025,出院人数,https://wjw.gz.gov.cn/,,,,,
440100|2025|公立医院数|实际值|3·副省级城市,广州市,2025,公立医院数,https://wjw.gz.gov.cn/,,,,,
440100|2025|基层医疗卫生机构数|实际值|3·副省级城市,广州市,2025,基层医疗卫生机构数,https://wjw.gz.gov.cn/,,,,,
440100|2025|每千人口卫生技术人员数|实际值(测算)|3·副省级城市,广州市,2025,每千人口卫生技术人员数,https://wjw.gz.gov.cn/,,,,,
440100|2025|每千人口医疗卫生机构床位数|实际值(测算)|3·副省级城市,广州市,2025,每千人口医疗卫生机构床位数,https://wjw.gz.gov.cn/,,,,,
440100|2025|每千人口执业(助理)医师数|实际值(测算)|3·副省级城市,广州市,2025,每千人口执业(助理)医师数,https://wjw.gz.gov.cn/,,,,,
440100|2025|每千人口注册护士数|实际值(测算)|3·副省级城市,广州市,2025,每千人口注册护士数,https://wjw.gz.gov.cn/,,,,,
440100|2025|年末常住人口|实际值|3·副省级城市,广州市,2025,年末常住人口,https://wjw.gz.gov.cn/,,,,,
440100|2025|三级医院数|实际值|3·副省级城市,广州市,2025,三级医院数,https://wjw.gz.gov.cn/,,,,,
440100|2025|三甲医院数|实际值|3·副省级城市,广州市,2025,三甲医院数,https://wjw.gz.gov.cn/,,,,,
440100|2025|卫生技术人员数|实际值|3·副省级城市,广州市,2025,卫生技术人员数,https://wjw.gz.gov.cn/,,,,,
440100|2025|医疗卫生机构实有床位数|实际值|3·副省级城市,广州市,2025,医疗卫生机构实有床位数,https://wjw.gz.gov.cn/,,,,,
440100|2025|医疗卫生机构总数|实际值|3·副省级城市,广州市,2025,医疗卫生机构总数,https://wjw.gz.gov.cn/,,,,,
440100|2025|医院数|实际值|3·副省级城市,广州市,2025,医院数,https://wjw.gz.gov.cn/,,,,,
